"location_id","location_name","parent_id","level","authority","facility_level","medical_bureaus","operational_status","ownership","private_facilities","public_facilities","reporting_status","path_to_top_parent","region_name","district_name","DLG_name","subcounty_name","latitude","longitude","geom_enhanced","facility_level_2","facility_type"
"pc82nYpfE5k","Gogonyo Medical Centre","e4XWNDjKUXH",6,"Private Authority","HC II",NA,"Non-Functional","PFP","PFP",NA,"Non-Reporting","akV6429SUqu,QBPg7KKCeoA,WiVj4bEhX4P,OSZi89lCGxi,e4XWNDjKUXH,pc82nYpfE5k","Bukedi","Pallisa District","Pallisa DLG","Gogonyo Subcounty",1.2661788,33.5770012,1,"clinic","private"
"pcHjVXNmuqh","Kinoni Health Centre III","SXKM4uYeXSY",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,Dl9WvtvDs5V,aSbgVKaeCP0,hUsqnPxJae2,SXKM4uYeXSY,pcHjVXNmuqh","North Buganda","Nakaseke District","Nakaseke DLG","Kinoni Subcounty",1.3893402,31.947311,1,"clinic","gov_HC"
"pcT3Ll2MaxS","Mt Zion Medical Clinic","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,pcT3Ll2MaxS","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.3482451,32.6661193,1,"clinic","private"
"pdaF4v60S6s","Molly and Cathy Medical Clinic","oyIJV2TSFLe",6,"Private Authority","Clinic",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,IEU0FjDAhBP,aIahLLmtvgT,jzNvCTo4a6g,oyIJV2TSFLe,pdaF4v60S6s","South Buganda","Wakiso District","Wakiso DLG","Kasangati Town Council",0.445603,32.612492,NA,"clinic","private"
"peDRvuxvzAv","Rosemary Clinic","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,peDRvuxvzAv","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.3482451,32.6661193,1,"clinic","private"
"peHi3mnL6x3","Mama Jovanh Drugshop","MhOYaJ7W537",6,"Private Authority","Drug Shop",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,DWPnYhoqza0,xpIFdCMhVHG,vFANCvLWoVs,MhOYaJ7W537,peHi3mnL6x3","Lango","Oyam District","Oyam DLG","Loro Town Council",2.2776281,32.4467238,1,"drugshop","drugshop"
"peOOgKXi5Qe","House Of Health Domiciliary Clinic","oweSpFBNbmi",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,oweSpFBNbmi,peOOgKXi5Qe","Kampala","Kampala District","Kampala City Council","Lubaga Division",0.3418294,32.6591094,1,"clinic","private"
"pefIQOO4szC","Buhanika Health Centre III","DswLGjkIGOc",6,"Local Government","HC III",NA,"Functional","GOV",NA,"Local Government","Reporting","akV6429SUqu,yx0ieyZNF0l,ZqJ9w7mzitv,P6pJkDUQdPK,DswLGjkIGOc,pefIQOO4szC","Bunyoro","Hoima City","Hoima City Council","Hoima East Division",1.405598,31.406346,NA,"clinic","gov_HC"
"pefbTxE2yCt","Nakapiripirit Prisons Health Centre II","dL9ehAbVZUU",6,"UPS","HC II",NA,"Functional","GOV",NA,"UPS","Reporting","akV6429SUqu,jdlbNUwJiKX,VuHCApXcMTm,lI1Sd7TO1dj,dL9ehAbVZUU,pefbTxE2yCt","Karamoja","Nakapiripirit District","Nakapiripirit DLG","Nakapiripirit Town Council",1.8502515,34.7215859,1,"clinic","gov_HC"
"pejLyhv9bkH","Safeline Enterprize Medical Clinic","kKEBeO1LL7S",6,"Private Authority","HC II",NA,"Functional","PFP","PFP",NA,"Reporting","akV6429SUqu,GIpyzaSuEgM,aXmBzv61LbM,R1tKznhbbIx,kKEBeO1LL7S,pejLyhv9bkH","Kampala","Kampala District","Kampala City Council","Nakawa Division",0.351212,32.597907,NA,"clinic","private"
"pfc9RIv7l5S","Ziiru Health Centre II","PzNdBxpQfiV",6,"UMMB","HC II","UMMB","Functional","PNFP","PNFP",NA,"Reporting","akV6429SUqu,Dl9WvtvDs5V,aZLZPPjqft0,QQtcR6lPoRD,PzNdBxpQfiV,pfc9RIv7l5S","North Buganda","Buvuma District","Buvuma DLG","Lyabaana Town Council",-0.5669536,33.1688883,1,"clinic","private"
